Date,Sales
2023-01-01,1441.0
2023-01-02,1100.0
2023-01-03,1244.0
2023-01-04,1560.0
2023-01-05,1466.0
2023-01-06,755.0
2023-01-07,1031.5
2023-01-08,962.0
2023-01-09,974.0
2023-01-10,1102.0
2023-01-11,1036.0
2023-01-12,1363.0
2023-01-13,1190.0
2023-01-14,1030.0
2023-01-15,1110.0
2023-01-16,1083.0
2023-01-17,1373.0
2023-01-18,948.0
2023-01-19,1078.0
2023-01-20,1608.0
2023-01-21,361.0
2023-01-22,1163.0
2023-01-23,1031.5
2023-01-24,814.0
2023-01-25,1567.0
2023-01-26,636.0
2023-01-27,1011.0
2023-01-28,953.0
2023-01-29,1383.0
2023-01-30,1367.0
2023-01-31,1038.0
2023-02-01,1094.0
2023-02-02,778.0
2023-02-03,504.0
2023-02-04,913.0
2023-02-05,1039.0
2023-02-06,1307.0
2023-02-07,1300.0
2023-02-08,903.0
2023-02-09,924.0
2023-02-10,737.0
2023-02-11,644.0
2023-02-12,573.0
2023-02-13,1487.0
2023-02-14,872.0
2023-02-15,1481.0
2023-02-16,686.0
2023-02-17,1194.0
2023-02-18,596.0
2023-02-19,946.0
2023-02-20,776.0
2023-02-21,1096.0
2023-02-22,872.0
2023-02-23,704.0
2023-02-24,992.0
2023-02-25,1107.0
2023-02-26,1016.0
2023-02-27,1031.5
2023-02-28,841.0
2023-03-01,909.0
2023-03-02,831.0
2023-03-03,910.0
2023-03-04,796.0
2023-03-05,568.0
2023-03-06,1044.0
2023-03-07,899.0
2023-03-08,592.0
2023-03-09,1115.0
2023-03-10,773.0
2023-03-11,1012.0
2023-03-12,1182.0
2023-03-13,1032.0
2023-03-14,1284.0
2023-03-15,691.0
2023-03-16,1100.0
2023-03-17,828.0
2023-03-18,782.0
2023-03-19,855.0
2023-03-20,922.0
2023-03-21,1014.0
2023-03-22,708.0
2023-03-23,1225.0
2023-03-24,1116.0
2023-03-25,615.0
2023-03-26,1372.0
2023-03-27,1473.0
2023-03-28,1294.0
2023-03-29,955.0
2023-03-30,732.0
2023-03-31,1263.0
2023-04-01,899.0
2023-04-02,1305.0
2023-04-03,1052.0
2023-04-04,1244.0
2023-04-05,1089.0
2023-04-06,1176.0
2023-04-07,1002.0
2023-04-08,1446.0
2023-04-09,1031.0
2023-04-10,1100.0
